Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
Ryan Pepiot,LAD,SP,521.8599853515625,36.1,-2.873316345033723,-8.42310819716483,-6.63029594627094,-5.27928907410586,-23.206009562575346,21.52277268204318,-0.6832368805321634,26221
Merrill Kelly,ARI,SP,244.89999389648438,200.1,-13.568250722678245,-11.84799289440068,7.18815179972022,-5.27928907410586,-23.507380891464567,21.52277268204318,-0.9846082094213859,11156
Steven Okert,MIA,RP,750.760009765625,51.1,-1.5129585058621928,-3.965912005556156,-4.48075963022787,2.82083144554515,-7.1387986961010705,5.097227315114666,-1.041571380986405,13580
Brandon Hughes,CHC,RP,323.8999938964844,57.2,-2.57362386010801,-2.234536918157589,-3.96896526926524,1.54186504770552,-7.235260999825318,5.097227315114666,-1.1380336847106514,23460
Javier Assad,CHC,SP,727.1400146484375,37.2,-1.6674149334742596,-8.883719751091578,-7.85860241258126,-5.27928907410586,-23.689026171252955,21.52277268204318,-1.166253489209773,21741
Chris Bassitt,TOR,SP,150.33999633789062,181.2,-13.269489750140766,-11.542120447401555,6.16456307779495,-5.27928907410586,-23.926336193853228,21.52277268204318,-1.403563511810046,12304
Kyle Nelson,ARI,RP,745.239990234375,37,1.904872334563178,-1.0472232729860256,-7.85860241258126,-0.589745615360535,-7.590698966364649,5.097227315114666,-1.4934716512499828,20515
George Kirby,SEA,SP,96.13999938964844,130,-9.063713965125524,-12.397859560570103,2.68436142324902,-5.27928907410586,-24.056501176552455,21.52277268204318,-1.5337284945092744,25436
Adrian Sampson,CHC,SP,714.6199951171875,104.1,-4.3224150682710025,-11.135113166978199,-3.4571709083026,-5.27928907410586,-24.193988217657655,21.52277268204318,-1.6712155356144738,13339
Brusdar Graterol,LAD,RP,438.92999267578125,49.2,-2.936478790484499,0.8264520260604554,-6.52793707407841,0.689220782479098,-7.9487430560233605,5.097227315114666,-1.8515157409086944,20367
Marcus Stroman,CHC,SP,277.4100036621094,138.2,-11.366474214192579,-8.993691865889799,1.25133721255365,-5.27928907410586,-24.38811794163459,21.52277268204318,-1.8653452595914062,13431
Kyle Finnegan,WSN,RP,226.97000122070312,66.2,-5.565437324706117,-4.221501490875591,-3.76424752488019,5.37876424122442,-8.172422099237474,5.097227315114666,-2.0751947841228073,15009
Jaime Barria,LAA,RP,999,79.1,0.6637068767429997,-0.37771811684021717,-5.40198947996062,-3.1476784110398,-8.263679131097634,5.097227315114666,-2.1664518159829673,18356
Drew Smyly,CHC,SP,411.69000244140625,106.1,-8.311730403970564,-9.516751204119522,-1.61471120883711,-5.27928907410586,-24.722481891033055,21.52277268204318,-2.1997092089898698,11760
Jovani Moran,MIN,RP,737.6900024414062,40.2,1.8686798889949936,-0.894422009339474,-5.40198947996062,-4.00032267626622,-8.428054276571318,5.097227315114666,-2.330826961456652,20422
Nick Lodolo,CIN,SP,124.93000030517578,103.1,-10.034478973864847,-12.209139614953443,2.47964367886397,-5.27928907410586,-25.04326398406018,21.52277268204318,-2.520491302016996,26378
Ryan Tepera,LAA,RP,629.239990234375,57.1,-5.3208463763735105,-1.7592807824392314,-6.11850158530831,4.52611997599799,-8.672508768123054,5.097227315114666,-2.5752814530083863,10291
Luis Garcia,HOU,SP,149.52000427246094,157.1,-16.19860081816749,-8.769873379797104,5.14097435586968,-5.27928907410586,-25.10678891620077,21.52277268204318,-2.58401623415759,23735
Tim Mayza,TOR,RP,999,48.2,-2.301830812065946,-2.366338154282062,-6.42557820188589,2.39450931293194,-8.699237855301956,5.097227315114666,-2.6020105401872895,15042
Braxton Garrett,MIA,SP,364.1400146484375,88,-7.795346407595888,-10.364477330358554,-1.71707008102964,-5.27928907410586,-25.156182893089937,21.52277268204318,-2.6334102110467543,21844
